code	MWL	value
lmn	3.908	short
lmp	4.308	moderately short
lmu	4.054	moderately short
lnd	3.562	short
lng	5.244	long
lno	5.05	long
lns	3.047	very short
lnw	4.132	moderately short
lob	3.769	short
lok	3.964	short
lon	4	short
lot	3.408	very short
lou	3.758	short
lov	3.425	very short
loz	3.456	very short
lrk	4.395	moderately short
lu	3.013	very short
lua	3.13	very short
luc	3.669	short
lud	4.412	moderately short
lug	3.171	very short
lui	4.487	moderately short
lum	5.624	very long
luo	3.7	short
lur	3.639	short
lus	4.829	moderately long
luv	3.793	short
lux	4.051	moderately short
lye	3.351	very short
ma	4.1	moderately short
maa	5.487	long
mab	4.184	moderately short
mac	4.756	moderately long
mad	2.994	extremely short
mae	3.7	short
mag	3.388	very short
mah	3.862	short
mai	3.792	short
maj	4	short
mak	5.787	very long
mal	5.005	long
man	2.71	extremely short
mao	4.194	moderately short
map	4.093	moderately short
mar	3.95	short
mas	4.871	moderately long
mau	5.075	long
maw	3.586	short
max	4.797	moderately long
may	3.364	very short
maz	3.948	short
mba	3.281	very short
mbe	3.356	very short
mbg	4.513	moderately long
mbi	2.906	extremely short
mbl	3.636	short
mbm	3.528	short
mbo	3.803	short
mbr	4.188	moderately short
mbt	4.919	moderately long
mbu	3.045	very short
mby	3.214	very short
mca	4.697	moderately long
mcd	3.981	short
mce	3.167	very short
mcf	5.167	long
mcg	4.641	moderately long
mch	6.338	extremely long
mcn	4.154	moderately short
mco	3.486	very short
mcr	3.788	short
mcs	4.5	moderately short
mcv	5.068	long
mda	4.423	moderately short
mde	3.742	short
mdg	3.167	very short
mdk	3.6	short
mdl	5.121	long
mdm	5.479	long
mdn	3.564	short
mdo	3.288	very short
mdr	4.371	moderately short
mds	4.324	moderately short
mdu	3.562	short
mdw	3.276	very short
mdz	3.504	short
mea	4.269	moderately short
meb	4.231	moderately short
mee	3.718	short
meh	4.694	moderately long
mei	3.243	very short
mek	4.172	moderately short
mel	4.588	moderately long
mem	3.983	short
men	5.113	long
mer	3.653	short
mey	4.744	moderately long
mga	3.794	short
mgd	4.618	moderately long
mge	3.228	very short
mgg	3.759	short
mgi	4.042	moderately short
mgk	3.111	very short
mgl	4.577	moderately long
mgn	4.25	moderately short
mgo	3.241	very short
mgq	3.282	very short
mgu	4.612	moderately long
mhc	4.35	moderately short
mhi	3.987	short
mhk	3.868	short
mhl	3.345	very short
mhm	4.059	moderately short
mhu	3.114	very short
mic	5.833	very long
mid	3.842	short
mie	3.105	very short
mig	4.295	moderately short
mii	3.417	very short
mij	2.85	extremely short
mik	3.565	short
min	4.382	moderately short
mir	6.406	extremely long
mis	3.806	short
mit	3	extremely short
miy	4.081	moderately short
